AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.0235,10.0,0.094,-0.010607528686523437,0.094,16758678.0,0.94,-0.8031961441040039,0.94,15373529.0,
0.024,10.0,0.096,-0.00043201446533203125,0.096,16776461.0,0.96,-0.7998842239379883,0.96,15379317.0,
0.0245,10.0,0.098,0.006526565551757812,0.098,11406.0,0.98,-0.7964086532592773,0.98,15385391.0,
0.025,10.0,0.1,0.010829544067382813,0.1,18926.0,1.0,-0.7928272247314453,1.0,15391650.0,
0.0255,10.0,0.102,0.004782485961914063,0.102,8358.0,1.02,-0.7894878387451172,1.02,15397486.0,
0.026,10.0,0.104,0.003050422668457031,0.104,5331.0,1.04,-0.785797119140625,1.04,15403936.0,
0.0265,10.0,0.106,0.001036834716796875,0.106,1812.0,1.06,-0.7827404022216796,1.06,15409278.0,
0.027,10.0,0.108,-0.0065059661865234375,0.108,16765846.0,1.08,-0.7825458526611327,1.08,15409618.0,
0.0275,10.0,0.11,-0.0109771728515625,0.11,16758032.0,1.1,-0.787053108215332,1.1,15401741.0,
0.028,10.0,0.112,-0.00399627685546875,0.112,16770232.0,1.12,-0.7945856094360352,1.12,15388577.0,
0.0285,10.0,0.114,0.006190681457519531,0.114,10819.0,1.14,-0.8025392532348633,1.14,15374677.0,
0.029,10.0,0.116,0.0121856689453125,0.116,21296.0,1.16,-0.8102405548095702,1.16,15361218.0,
0.0295,10.0,0.118,0.008215713500976562,0.118,14358.0,1.18,-0.8166812896728516,1.18,15349962.0,
0.03,10.0,0.12,0.0033794403076171874,0.12,5906.0,1.2,-0.8212800979614258,1.2,15341925.0,
0.0305,10.0,0.122,0.00218353271484375,0.122,3816.0,1.22,-0.8242687225341797,1.22,15336702.0,
0.031,10.0,0.124,-0.00491180419921875,0.124,16768632.0,1.24,-0.8261432647705078,1.24,15333426.0,
0.0315,10.0,0.126,-0.011217498779296875,0.126,16757612.0,1.26,-0.8264144897460938,1.26,15332952.0,
0.032,10.0,0.128,-0.010379791259765625,0.128,16759076.0,1.28,-0.8253107070922852,1.28,15334881.0,
0.0325,10.0,0.13,0.0011924743652343749,0.13,2084.0,1.3,-0.8241411209106445,1.3,15336925.0,
0.033,10.0,0.132,0.008687782287597656,0.132,15183.0,1.32,-0.8227329254150391,1.32,15339386.0,
0.0335,10.0,0.134,0.00736083984375,0.134,12864.0,1.34,-0.8217578887939453,1.34,15341090.0,
0.034,10.0,0.136,0.0031059265136718747,0.136,5428.0,1.36,-0.8213184356689452,1.36,15341858.0,
0.0345,10.0,0.138,0.002398681640625,0.138,4192.0,1.38,-0.8213178634643554,1.38,15341859.0,
0.035,10.0,0.14,-0.0024518966674804688,0.14,16772931.0,1.4,-0.8212984085083007,1.4,15341893.0,
0.0355,10.0,0.142,-0.00841541290283203,0.142,16762509.0,1.42,-0.8209333419799805,1.42,15342531.0,
0.036,10.0,0.144,-0.011077880859375,0.144,16757856.0,1.44,-0.8201248168945312,1.44,15343944.0,
0.0365,10.0,0.146,-0.00018367767333984374,0.146,16776895.0,1.46,-0.8184396743774414,1.46,15346889.0,
0.037,10.0,0.148,0.009513473510742188,0.148,16626.0,1.48,-0.8165788650512695,1.48,15350141.0,
0.0375,10.0,0.15,0.012111854553222655,0.15,21167.0,1.5,-0.8138368606567382,1.5,15354933.0,
0.038,10.0,0.152,0.005969810485839844,0.152,10433.0,1.52,-0.81075439453125,1.52,15360320.0,
0.0385,10.0,0.154,0.004410552978515625,0.154,7708.0,1.54,-0.8074871063232422,1.54,15366030.0,
0.039,10.0,0.156,0.002291107177734375,0.156,4004.0,1.56,-0.8037494659423828,1.56,15372562.0,
0.0395,10.0,0.158,-0.0023609161376953124,0.158,16773090.0,1.58,-0.7996770858764648,1.58,15379679.0,
0.04,10.0,0.16,-0.005674552917480469,0.16,16767299.0,1.6,-0.7956476211547852,1.6,15386721.0,
0.0405,10.0,0.162,0.0032243728637695312,0.162,5635.0,1.62,-0.7916301727294922,1.62,15393742.0,
0.041,10.0,0.164,0.013985824584960936,0.164,24442.0,1.64,-0.7874553680419921,1.64,15401038.0,
0.0415,10.0,0.166,0.018905067443847654,0.166,33039.0,1.66,-0.7834550857543945,1.66,15408029.0,
0.042,10.0,0.168,0.014888191223144531,0.168,26019.0,1.68,-0.7792327880859374,1.68,15415408.0,
0.0425,10.0,0.17,0.011435508728027344,0.17,19985.0,1.7,-0.7751163482666016,1.7,15422602.0,
0.043,10.0,0.172,0.010300254821777344,0.172,18001.0,1.72,-0.7706113815307617,1.72,15430475.0,
0.0435,10.0,0.174,0.001812744140625,0.174,3168.0,1.74,-0.7661516189575195,1.74,15438269.0,
0.044,10.0,0.176,-0.004634284973144531,0.176,16769117.0,1.76,-0.7613296508789062,1.76,15446696.0,
0.0445,10.0,0.178,-0.0038440704345703122,0.178,16770498.0,1.78,-0.7575588226318359,1.78,15453286.0,
0.045,10.0,0.18,0.006396102905273438,0.18,11178.0,1.8,-0.756404685974121,1.8,15455303.0,
0.0455,10.0,0.182,0.01104583740234375,0.182,19304.0,1.82,-0.7591300964355469,1.82,15450540.0,
0.046,10.0,0.184,0.005317497253417969,0.184,9293.0,1.84,-0.7640321731567382,1.84,15441973.0,
0.0465,10.0,0.186,-0.002593231201171875,0.186,16772684.0,1.86,-0.7688947677612304,1.86,15433475.0,
0.047,10.0,0.188,-0.005138397216796875,0.188,16768236.0,1.88,-0.7732887268066406,1.88,15425796.0,
0.0475,10.0,0.19,-0.011953353881835938,0.19,16756326.0,1.9,-0.7768667221069335,1.9,15419543.0,
0.048,10.0,0.192,-0.016216850280761717,0.192,16748875.0,1.92,-0.7789752960205077,1.92,15415858.0,
0.0485,10.0,0.194,-0.017511749267578123,0.194,16746612.0,1.94,-0.7794530868530273,1.94,15415023.0,
0.049,10.0,0.196,-0.0044002532958984375,0.196,16769526.0,1.96,-0.7789884567260742,1.96,15415835.0,
0.0495,10.0,0.198,0.003919029235839843,0.198,6849.0,1.98,-0.77728271484375,1.98,15418816.0,
0.05,10.0,0.2,0.006694221496582031,0.2,11699.0,2.0,-0.7745126724243164,2.0,15423657.0,
0.0505,10.0,0.202,0.0027408599853515625,0.202,4790.0,2.02,-0.7714118957519531,2.02,15429076.0,
0.051,10.0,0.204,0.0011518478393554687,0.204,2013.0,2.04,-0.7688982009887695,2.04,15433469.0,
0.0515,10.0,0.206,-0.0009922027587890624,0.206,16775482.0,2.06,-0.7671083450317383,2.06,15436597.0,
0.052,10.0,0.208,-0.008762168884277343,0.208,16761903.0,2.08,-0.7658758163452148,2.08,15438751.0,
0.0525,10.0,0.21,-0.013395881652832032,0.21,16753805.0,2.1,-0.7646907806396485,2.1,15440822.0,
0.053,10.0,0.212,-0.006478500366210937,0.212,16765894.0,2.12,-0.763722038269043,2.12,15442515.0,
0.0535,10.0,0.214,0.0036237716674804685,0.214,6333.0,2.14,-0.7624414443969726,2.14,15444753.0,
0.054,10.0,0.216,0.008658599853515624,0.216,15132.0,2.16,-0.7604118347167969,2.16,15448300.0,
0.0545,10.0,0.218,0.005468559265136719,0.218,9557.0,2.18,-0.7578672409057617,2.18,15452747.0,
0.055,10.0,0.22,0.002340888977050781,0.22,4091.0,2.2,-0.7549816131591797,2.2,15457790.0,
0.0555,10.0,0.222,-0.0007822036743164062,0.222,16775849.0,2.22,-0.7514081954956054,2.22,15464035.0,
0.056,10.0,0.224,-0.006540870666503906,0.224,16765785.0,2.24,-0.7473850250244141,2.24,15471066.0,
0.0565,10.0,0.226,-0.011640357971191406,0.226,16756873.0,2.26,-0.7432737350463867,2.26,15478251.0,
0.057,10.0,0.228,-0.009922027587890625,0.228,16759876.0,2.28,-0.739126968383789,2.28,15485498.0,
0.0575,10.0,0.23,0.0012617111206054688,0.23,2205.0,2.3,-0.7350648880004883,2.3,15492597.0,
0.058,10.0,0.232,0.008926963806152344,0.232,15601.0,2.32,-0.7307825088500977,2.32,15500081.0,
0.0585,10.0,0.234,0.006879043579101562,0.234,12022.0,2.34,-0.7263553619384765,2.34,15507818.0,
0.059,10.0,0.236,0.0027969360351562497,0.236,4888.0,2.36,-0.7216947555541992,2.36,15515963.0,
0.0595,10.0,0.238,0.0022144317626953125,0.238,3870.0,2.38,-0.7171743392944335,2.38,15523863.0,
0.06,10.0,0.24,-0.003962516784667969,0.24,16770291.0,2.4,-0.7127494812011719,2.4,15531596.0,
0.0605,10.0,0.242,-0.009683990478515625,0.242,16760292.0,2.42,-0.7077615737915038,2.42,15540313.0,
0.061,10.0,0.244,-0.011709022521972656,0.244,16756753.0,2.44,-0.7033533096313477,2.44,15548017.0,
0.0615,10.0,0.246,-0.0010894775390624999,0.246,16775312.0,2.46,-0.699557876586914,2.46,15554650.0,
